Street,Address,rent_cold,additional_cost,free_from,distance,gadgets,female_roommates,male_roommates,divers_roommates,room_description,location_description,flat_live,additional,smoker,accessible,kind_of_flat,Url,type,district,size,price,link
Clemens was active in cancer research until last year.This year he's taking a year off and doing a lot of music.He goes to jam sessions and makes electronic music and videos.(@schuh_mischlingshund).He...",,,1,"keine Zweck-WG, gemischte WG, WG-Neugründung",https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Connewitz.9385291.html,4er WG,Connewitz,    16,365 ,https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Connewitz.9385291.html

Paulinenstraße 1,04315 Leipzig Volkmarsdorf,250,20,19.06.2023,1,,0,0,0.0," Die Wohnung liegt in einem Mehrfamilienhaus in Volkmarsdorf. Die WG hat 7 Zimmer, einen Flur, einem Badezimmer und Küche. Das freie Zimmer ist schön geschnitten und sehr hell. 
 The apartment is located in an apartment building in Volkmarsdorf. The flat has 7 rooms, a hallway, a bathroom and kitchen. The free room is nicely cut and very bright"," Es wohnen dort meist junge Leute und Studenten, aber auch Arbeitende, Künstler, und so weiter. Die Gegend war noch vor ein paar Jahren nicht auf dem Radar der meisten Leute, jetzt schießen überall Bars und Restaurants aus dem Boden. Eine ehemalige S-Bahn-Strecke gegenüber wird zu einem Hochpark umfunktioniert, an jeder Ecke tut sich was. Und wer in die Innenstadt will, in 15 Minuten ist man mit der Straßenbahn, die um die Ecke fährt, da. 
 Mostly young people are living there, as do students, artistsand others. The area is upcoming and always changing: a lot of restaurants and student bars are opening up. The Tram is just around the corner and within 15 minutesyou can reach the center of town.","Wir kommen aus verschiedensten Bereichen. Manche studieren, manche arbeiten, ist eine ziemlich gemischte WG. Wir würden es in Zukunft gern bunt halten - wir gehen also locker an die Sache und sind gespannt wer sich meldet, egal, ob du männlich oder weiblich bist. Wir sprechen übrigens Deutsch und Englisch. 
 We come from a wide variety of backgrounds. Some study, some work, is a pretty mixed WG. We would enjoy to mix things up in the future as well. So we are looking for male or female roomies to join us. We speak German and English."," Der Mietvertrag ist unbefristet. Die Kündigungsfrist beträgt 3 Monate. Die Warmmiete ist inklusive Wasser und Betriebskosten. Stromkosten sind extra. Gemeinsame Räume sind sauber und ordentlich zu halten. 
 Available for immediate occupancy. Thelease is for an undetermined period of time. The notice period is 3 months. The warm rent is inclusive of water and operating costs. Electricity costs are extra. Common rooms are to be kept clean and tidy.",,0,gemischte WG,https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Volkmarsdorf.9808807.html,7er WG,Volkmarsdorf,    15,270 ,https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Volkmarsdorf.9808807.html

Breitenfelder Straße 72,04157 Leipzig Gohlis-Mitte,179,79,01.07.2023,2,"Waschmaschine,Balkon",1,1,0.0," Du wirst gesucht! 
 Wir wünschen uns eine/n neue/n Mitbewohner/in für ein unmöbliertes, 17m^2 großes Zimmer mit 2 großen Fenstern in Himmelsrichtung Westen. Vom Nachmittag bis in die Abendstunden fallen die Sonnenstrahlen in das Zimmer und sorgen für ein helles Zimmer. Gerade zu dieser Zeit überzeugt es mit einer hohen Decke samt kleinen und feinen Verzierungen.  
 Die Wohnung, welche sich im 1. OG befindet, verfügt über einen großen Balkon und eine moderne Einbauküche."," Die Wohnung liegt 200 Meter entfernt von der Straßenbahnhaltestelle der Linie 4. Sowohl die S-Bahnhaltestelle Coppiplatz (S1) und Olbrichtstraße (S3) sind auch fußläufig erreichbar. Ein Konsum liegt 250 Meter entfernt und ca. 1 km entfernt befindet sich ein Kaufland.  
 Mit der S-Bahn ist man in 10 Minuten auf dem Marktplatz und mit der Straßenbahn in 10 Minuten am Stadtrand.","Wer sind wir?
 Wir sind eine 3er WG bestehend aus Marius, Alicia und dir?
 Hi, ichbin Marius, 21 Jahre alt und studiert im Bachelor Wirtschaftswissenschaften. Aktuell schreibe ich meine Bachelorarbeit und bewerbe mich für den Mater ab Herbst an der Uni Leipzig starten. In meiner Freizeit koche ich unheimlich gerne. Dabei bin ich immer auf der Suche nach neuen Rezepten und freue mich, diese auszuprobieren. Wenn du ein Lieblingsgericht hast, können wir es gerne zum nächsten WG-Kochen ausprobieren. 
 Helo, mein Name ist Alicia und ich bin ebenfalls 21 Jahre alt. Aktuell studiere ich an der Uni Leipzig Gymnasiallehramt für Deutsch. Neben meinem Studium widme ich mich gerne meiner großen Leidenschaft, der Kunst. Ich liebe den Sommer mit all seinen Fassetten und verbringe meine Zeit gerne mit Freunden im Park oder bei gutem Wetter am See. 😊 
 Wir würden uns sehr freuen, dich bei einer Besichtigung kennenzulernen. Schreib uns einfach und wir vereinbaren zeitnah einen Termin.", Wir suchen im Zeitraum vom 01.07. bis 01.08. eine/n neue/n Mitbewohner/in auf unbefristete Zeit.,0.0,0,Studenten-WG,https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Gohlis-Mitte.10167160.html,3er WG,Gohlis-Mitte,    17,258 ,https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Gohlis-Mitte.10167160.html

Comeniusstraße 25,04315 Leipzig Neustadt-Neuschönefeld,455,50,14.06.2023,2,"Waschmaschine,Spülmaschine,Balkon,Gartenmitbenutzung",2,0,0.0," In dem Haus befinden sich 8 WG! Hier tobt das Leben. 
 Es gibt ein freies Zimmer Nr.2 in der Wohnung Nummer 4. Dieses Zimmer hat knapp 18 qm.und kostet 505,00 € warm 
 Es gibt ein freies Zimmer Nr.5 in der Wohnung Nummer 3. Dieses Zimmer hat knapp6 qm und kostet 330,00 € warm."," Die Wohnung liegt in Neustadt-Neuschönefeld, nahe dem Zentrum Ost. Dies ist eine sehr zentrale Lage, direkt an der Eisenbahnstraße. Die Eisenbahnstraße ist eine junge und Hippe Straße, die viele kleine Cafés, Bars, 
 Restaurantsgeprägt ist. Bis zum Zentrum sind es circa 9 Minuten mit dem Fahrrad. Die ÖPNV Anbindung (Eisenbahnstraße) ist super. In der nähe sind Grünflächen (z.B. Rabet Park) und Einkaufsmöglichkeiten wie der nahe gelegene Edeka.","Ich bin selbst der Vermieter, lebe jedoch nicht in der WG. 
 Jeder Mieter erhält einen eigenen Mietvertrag für sein Zimmer. Somit haftet ihr nicht für die Miete der anderen Bewohner, falls ein Zimmer leer steht und könnt unkompliziert kündigen. 
 In Zimmer 1 wohnt Erim, der eine Ausbildung macht. In Zimmer 3 wohnt Georg, er studiert.",,0.0,0,"Studenten-WG, gemischte WG",https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Neustadt-Neuschoenefeld.10117928.html,3er WG,Neustadt-Neuschönefeld,    18,505 ,https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Neustadt-Neuschoenefeld.10117928.html

Wittenberger Straße 40,04129 Leipzig Eutritzsch,174,82,01.07.2023,3,,5,0,0.0," Huhuu:) 
 Wir suchen eine*n neue*n Mitbewohni für unsere sweete WG, da uns Martin leider verlässt, um für längere Zeit zu verreisen.  
 Das freiwerdende Zimmer ist das kleinste und damit auch billigste in der Wohnung, bietet aber genug Platz für alles Wichtige. Außerdem haben wir noch eine Abstellkammer und ein Kellerabteil mit viel Stauraum. Das Fenster geht nach Westen raus, die Sonne leuchtet also ab dem Nachmittag ins Zimmer:) es hat einen nicen Holzboden und breite Fensterbretter, die ein bisschen Balkon-Vibes geben!"," Die Wohnung liegt ziemlich genau im Eutritzscher Zentrum und man ist mit dem Fahrrad in 15 Minuten schnell in der Innenstadt. Vor der Haustür hält die Tram und der Bus und alle 10 min kommt man entweder Richtung Zentrum, weiter Richtung Norden oder Richtung Stannebeinplatz in den Osten. Auch mit dem Nachtbus kommt man gut her. Rewe ist vor der Tür, Aldi, Netto und Lidl 5 bis 10 min zu Fuß. Ansonsten gibt es eine Eisdiele, einen Döner Laden, einen Bubble Tea Laden, eine Sparkasse, einen Getränkemarkt, viele Ärzte_Innen, eine Apotheke und noch mehr in der Nähe. Ein weiteres Highlight ist der Arthur-Brettschneider-Park. Der Bretti wird vor allem im Sommer zu unserem 'Garten'.","Jetzt zu uns: 
 Da ist Susette (22), sie studiert Medizin, verbringt im Sommer viel Zeit am See, bringt sich gerade tätowieren bei & geht gern (vor allem zu techno) feiern. 
 Da ist Susi (23), gerade mitten in ihrer Bachelorarbeit in Physik. Immer auf der Suche nach Boulder- und Kletterpartner*innen und an stressfreien Tagen zum Schreiben im Park oder auf ein paar Sternis unterwegs.
 Da ist Clara (22), studiert an der HMT Lehramt und wenn man sie nichtzuhause bei einer Folge Friends trifft, tobt sie sich in ihrer Band oder bei Musicals aus.
 Da ist Rebekka (23), die gerade ihren Master in Psychologie macht. Ob Theater, Oper, Disko, Bar oder ein gutes Buch. Sie begeistert sich für viele Dinge und ist unschlagbar bei SingStar. 
 Und da ist Linh (22), macht momentan eine Ausbildung zur Physiotherapeutin. Sie liebt skaten, ist unsere Pflanzenmom und ist wahrscheinlich süchtig nach Pommes. 
 Wir fühlen uns hier sehr wohl und legen viel Wert darauf, auf die Bedürfnisse aller zu achten. Wir unterstützen uns gegenseitig in unseren Plänen und sind ziemlich up to date, was bei den anderen abgeht:) Man findet hier immer ein offenes Ohr, wenn jemensch Probleme hat oder jemensch zum Reden braucht. 
 Gemeinsam verbringen wir viel Zeit in der Küche und kochen und essen zusammen, gucken Trash TV, Gefragt gejagt oder Filme oder sind im Park, auf Ausstellungen, zum einkaufen, am See oder auf Partys zusammen unterwegs. Natürlich immer wie es möglich ist und passt. Kein Muss. Zurückziehen ist jederzeit möglich und wichtig und man kann jederzeit Dinge ansprechen, die man auf dem Herzen hat."," Von unserem/unserer neuen Mitbewohner:in wünschen wir uns Kommunikationsbereitschaft, Authentizität und ein gewisses Grundverständnis für politische Themen. 
 Wir rauchen in der Küche und im Wohnzimmer. In deinem Zimmer kannst du auch rauchen. Selbstverständlich nehmen wir aber dabei aufeinander Rücksicht, fragen uns gegenseitig obs okay ist und lüften regelmäßig. 
 Genug gequasselt, am besten du machst dir selber mal ein Bild und kommst rum oder wir machen mal einen Videocall. 
 Wir versuchen regelmäßig zu antworten, aber bitte nicht ungeduldig werden wenns etwas dauert:)  GaLiGrü aus der W40",1.0,0,"Studenten-WG, keine Zweck-WG, gemischte WG, Vegetarisch/Vegan",https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Eutritzsch.10137459.html,6er WG,Eutritzsch,    11,256 ,https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Eutritzsch.10137459.html

Dölitzer Straße 22,04277 Leipzig Connewitz,240,110,01.07.2023,1,"Waschmaschine,Spülmaschine,Balkon,Gartenmitbenutzung",0,1,0.0," Moini ihr Lieben,  ich suche eine/n WG-Mitbewohni für ein ca. 16m² Zimmer mit östlicher Ausrichtung (Morgensonne) in Connewitz :)Das Zimmer ist unmöbliert und hat eine mint-farben gestrichene Wand (siehe Fotos). Die 60m² Wohnung ist im 1.OG und hat ansonsten alles was das Herz begehrt: Waschmaschine, Spülmaschine, Balkon in Südwest-Richtung mit Sitzpolstern, 500MBit/s WLAN, ein paar Pflanzen, Reiskocher, Standmixer... was man halt so braucht zum Leben :D  Kommode im Flur und die Bad-/Spiegelschränke sind mehr als halbleer und können natürlich mitbenutzt werden. Es gibt auch noch eine Abstellkammer im Treppenhaus für allen möglichen Krams, das Fahrrad kann man im Innenhof abstellen und falls man ein Auto hat gibt's in der Straße vor der Tür eigentlich immer ein Plätzchen."," Die Wohnung liegt in einer Parallelstraße zur Bornaischen. Zur Tramhaltestelle Hildebrandstraße (Linie 9 & 11) sind es 3 Minuten zu Fuß (wenn man rennt schafft man es auch in einer :D). Die S-Bahn ist in 10 Minuten erreichbar. 
 Zur Ostseite (in welche auch das Zimmer zeigt) ist der Garten des Pflegeheims, auf der Balkonseite ist ein schöner, grüner Innenhof und Sonnenschein bis in die späten Abendstunden. 
 Einkaufen: 
 - 2x Konsum, je 50m entfernt.  
 - Rewe am Connewitzer Kreuz sind 10 Minuten zu Fuß  
 - Ansonsten gibt's auch genug Spätis in der Nähe :) 
 Freizeit: 
 - Zum Cossi sinds 15 Minuten mit dem Fahrrad 
 - Wildpark/Auwald sind in wenigen Minuten zu Fuß erreichbar zum joggen oder spazieren gehen 
 - Bars, Spätis und Cafe's gibt's auch genug, alles zu Fuß erreichbar  
 Die HTWK ist in5 Minuten mit dem Fahrrad oder 10 Minuten mit der Bahn erreichbar.","Ich bin der Leon (24) und studiere Elektrotechnik im 4. Semester an der HTWK. Ich schreibe momentan meine Masterarbeit und bin daher 3 Tage die Woche auf Arbeit und 2 im Homeoffice. In meiner Freizeit spiele ich Volleyball bei Roter Stern Leipzig, geh ins Fitti und bin allgemein gerne draußen unterwegs. Für nen Bar-Abend, cornern am Späti oder dancen im ifz oder eli bin ich auch gerne zu haben.
 Am Wochenende ist etwas lautere Musik mit etwas Rücksicht auf die Nachbarn darunter eigentlich bisher auch kein Problem gewesen. Ab und zu brauch ich auch mal meine Ruhe, aber ich denke das geht jedem so, die Wohnung soll ja auch ein zuhause sein. An den Wochenenden bin ich hin und wieder Freunde in ner anderen Stadt besuchen, umgekehrt habe ich auch ab und zu mal Besuch da.
 Ich ernähre mich größtenteils vegetarisch, hab aber gar kein Problem mit anderen Essgewohnheiten. Ein gewisses Grundmaß an Sauberkeit und Ordnung ist mir schon wichtig, ob das Ganze mit oder ohne Putzplan läuft kann man ja gemeinsam entscheiden :) 
 An den/die zukünftige/n Mitbewohner*in: 
 Mir ist egal ob du studierst, arbeitest oder einfach das Leben genießt im Moment. Wenn du Bock auf ne chillige WG hast, in der man auch mal quatschen kann, was kocht oder hin und wieder zusammen was unternimmt melde dich gerne. Schreib mir einfach und erzähl ein bisschen was von dir und deinem Alltag, den Rest sehen wir dann wenns soweit ist :) 
 Ich freue mich von dir zu hören!",,1.0,0,keine Zweck-WG,https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Connewitz.10081945.html,2er WG,Connewitz,    16,350 ,https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Connewitz.10081945.html

Gräfestraße 39,04129 Leipzig Eutritzsch,190,0,15.06.2023,2,"Waschmaschine,Spülmaschine,Terrasse,Balkon,Garten,Keller",0,6,0.0," Die Studentenverbindung Corps Saxonia Leipzig sucht neue Mitbewohner. 
 Du bist Student an der Universität oder Hochschule und suchst aktuell ein Zimmer? 
 Du hast keine Lust auf eine normale WG oder eine kleine Einzimmerwohnung? 
 Dann bist du bei uns genau richtig, wir bieten dir ein schönes Zimmer in einer alten Stadtvilla. 
 Alle Zimmer sind 20 Quatratmeter groß und teilmöbiliert. Wir haben insgesamt 7 Zimmer und 5 Bäder auf unseren 2 Wohnetagen. Die Villa verfügt über eine große Gemeinschaftsküche sowie ein Esszimmer, einen Wintergarten, einen Salon, eine Bar und einen großen Gemeinschaftsraum. Das Haus wurde 1870 erbaut und überzeugt durch viele kleine Details."," Die Villa befindet sich in einem ruhigen Teil von Eutritzsch. Die Uni ist nur 7 Haltestellen vom Haus entfernt und zur Bahnhaltestelle dauert es nur 2 Minuten. Hinter dem Haus befindet sich ein großer Park, der zum Spazieren gehen und Sport einlädt. Die Villaverfügt über einen großen Garten, der frei genutzt werden kann. Im Garten gibt es einen Grill sowie im Sommer einen kleinen Pool zur Erholung.","Das Leben in unserer Studentenverbindung zeichnet sich aus durch gemeinsame Aktivitäten und unterstütztem Lernen während des Semesters.
 In dem Haus wohnen zwei Jurastudenten, ein Wirtschaftsingeneurstudent und ein Medizinstudent. 
 Gemeinsame Aktivitäten beinhalten kochen, Spiele- und Filmabende, Stadtbesuche und Wochenendausflüge.
 Die große Gemeinschaftsetage ermöglicht es ebenso konzentriert und in Ruhe zu lernen."," Melde dich bei uns und werde Teil dieser Gemeinschaft.  
 Herkunft und Religion spielen dabei keine Rolle.  
 Wir können nur eingeschriebene Studenten einziehen lassen. 
 Wenn dir die Beschreibung zugesagt hat, schicken uns bitte eine Nachricht mit dem ersten Wort ""BLAU"".
 Bei Fragen kannst du dich gerne an uns wenden.  
 Wir freuen uns über dein Interesse!  
 Internetseite: 
 https://corpssaxonialeipzig.de/",,0,"Männer-WG, Verbindung, keine Zweck-WG",https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Eutritzsch.7471887.html,7er WG,Eutritzsch,    20,190 ,https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Eutritzsch.7471887.html

"Motteler Straße, 30",04155 Leipzig Gohlis-Süd,450,200,01.07.2023,3,"Waschmaschine,Spülmaschine,Balkon,Garten,Keller",,,," Aufgrund eines Projekts im Ausland vermiete ich für 1 Monat im Juli meine Wohnung. Sie ist voll ausgestattet hat W LAN, Waschmaschine usw.  
 Bitte persönlich anrufen unter 01783388065."," Straßenbahn 3min Entfernung, S Bahn 10min Fußweg. 
 Zur Innen Stadt mit Rad ca 15min",,,,0,,https://www.wg-gesucht.de/wohnungen-in-Leipzig-Gohlis-Sued.8213014.html,2-Zimmer-Wohnung  ,Gohlis-Süd,    53,650 ,https://www.wg-gesucht.de/wohnungen-in-Leipzig-Gohlis-Sued.8213014.html

Kurt-Günther-Straße 11,04317 Leipzig Reudnitz-Thonberg,195,149,01.08.2023,4,"Waschmaschine,Balkon,Garten,Gartenmitbenutzung,Keller,Fahrradkeller,Haustiereerlaubt",1,0,0.0," Das Zimmer ist ca. 17 m² groß und mit neuwertigem Laminat ausgelegt. Das Fenster lässt viel Licht herein und zeigt zur kaum befahrenen Nebenstraße raus, wodurch es in dem Zimmer sehr ruhig ist."," Unsere WG befindet sich im Herzen von Reudnitz, in unmittelbarer Nähe zur Haltestelle Riebeck-/Oststraße, von der man mit der Straßenbahn 4 direkt ins Zentrum/zur Uni, oder mit der 60 und 70 in Richtung Süden und Westen fahren kann. 
 Dank Globus Döner, Nori oder dem Libanonbistro wird man im Notfall auch Sonn- und Feiertags nicht verhungern. Und sonst lass uns einfach gemeinsam in unserer WG Küche kochen. :) 
 Die Kurt-Günther-Straße ist eine eher ruhige und grüne Seitenstraße der Riebeckstraße. Auch innerhalb des Hauses ist es recht ruhig, hier wohnen WGs, Familien und Rentner friedlich unter einem Dach. Es hat sich noch nie jemand beschwert, wenn wir nachts auf dem Balkon mit Freunden saßen. 
 Ebenso sind Lene-Voigt- und Friedenspark schnell zu erreichen, für ein Picknick bietet sich allerdings durchaus unser schöner, großer Garten an.","Da meine jetzige Mitbewohnerin Kat leider ausziehen wird, bin ich, Sophia (30), auf der Suche nach einer neuen offenen, geselligen und humorvollen Person für ein gemeinschaftliches Zusammenleben. Durch meine umgängliche und fröhliche Art bin ich eine angenehme Mitbewohnerin, mit der man viel Spaß haben, aber auch längere Gespräche führen, kochen, Musik hören, oder mal einen Film/Serie schauen kann. Natürlich respektiere ich auch Zeiten,in denen jeder für sich sein möchte. Seit knapp 3 Jahren wohne ich nun in Leipzig und bin immer noch dabei diese tolle junge Stadt zu erkunden und kennenzulernen (dank Corona musste man sich dafür ja auch mehr Zeit nehmen;)). Vom WG-Leben stelle ich mir ein nettes Miteinander vor, du solltest also keine Zweck-WG bevorzugen, denn das soll diese nicht sein. Natürlich hat jeder seine Privatsphären und Zeiten, trotzdem würde es mich freuen, wenn wir auch zusammen etwas unternehmen, kochen, oder auf unserem Balkon entspannen :) 
 Längerfristig werde ich mich wahrscheinlich nach einer größeren WG umschauen, wodurch für dich auch nochmal die Möglichkeit bestünde, dir eine neue WG-Konstellation auszusuchen. 
 Unsere Wohnung ist somit vollständig ausgestattet und besteht abgesehen von unseren beiden Zimmern noch aus einer gemütlichen Küche, einem Badezimmer mit Wanne, einer separaten Toilette, Flur und Balkon. 
 Außerdem gibt es noch einen schönen Garten im Hinterhof, einen Fahrradkeller und direkt gegenüber der Wohnung einen Dachboden mit seeeehr viel Stauraum und der Möglichkeit, Wäsche aufzuhängen. Wir sind also auf der Etage allein und haben keine Nachbarn über uns :)"," Die Miete von insgesamt 344€ beinhaltet Miete, Nebenkosten, Internet, Strom und GEZ. 
 Für Besichtigungstermine bevorzuge ich gern das Wochenende, Samstag oder Sonntag. 
 Bei Interesse melde dich am besten erstmal über das Kontaktformular. Alles Weitere können wir gerne auch persönlich bei einem Kaffee oder einem Bier besprechen :)",1.0,0,"Studenten-WG, keine Zweck-WG, gemischte WG",https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Reudnitz-Thonberg.10168287.html,2er WG,Reudnitz-Thonberg,    17,344 ,https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Reudnitz-Thonberg.10168287.html

Kurt-Günther-Straße 11,04317 Leipzig Reudnitz-Thonberg,195,149,01.08.2023,4,"Waschmaschine,Balkon,Garten,Gartenmitbenutzung,Keller,Fahrradkeller,Haustiereerlaubt",1,0,0," Das Zimmer ist ca. 17 m² groß und mit neuwertigem Laminat ausgelegt. Das Fenster lässt viel Licht herein und zeigt zur kaum befahrenen Nebenstraße raus, wodurch es in dem Zimmer sehr ruhig ist."," Unsere WG befindet sich im Herzen von Reudnitz, in unmittelbarer Nähe zur Haltestelle Riebeck-/Oststraße, von der man mit der Straßenbahn 4 direkt ins Zentrum/zur Uni, oder mit der 60 und 70 in Richtung Süden und Westen fahren kann. 
 Dank Globus Döner, Nori oder dem Libanonbistro wird man im Notfall auch Sonn- und Feiertags nicht verhungern. Und sonst lass uns einfach gemeinsam in unserer WG Küche kochen. :) 
 Die Kurt-Günther-Straße ist eine eher ruhige und grüne Seitenstraße der Riebeckstraße. Auch innerhalb des Hauses ist es recht ruhig, hier wohnen WGs, Familien und Rentner friedlich unter einem Dach. Es hat sich noch nie jemand beschwert, wenn wir nachts auf dem Balkon mit Freunden saßen. 
 Ebenso sind Lene-Voigt- und Friedenspark schnell zu erreichen, für ein Picknick bietet sich allerdings durchaus unser schöner, großer Garten an.","Da meine jetzige Mitbewohnerin Kat leider ausziehen wird, bin ich, Sophia (30), auf der Suche nach einer neuen offenen, geselligen und humorvollen Person für ein gemeinschaftliches Zusammenleben. Durch meine umgängliche und fröhliche Art bin ich eine angenehme Mitbewohnerin, mit der man viel Spaß haben, aber auch längere Gespräche führen, kochen, Musik hören, oder mal einen Film/Serie schauen kann. Natürlich respektiere ich auch Zeiten,in denen jeder für sich sein möchte. Seit knapp 3 Jahren wohne ich nun in Leipzig und bin immer noch dabei diese tolle junge Stadt zu erkunden und kennenzulernen (dank Corona musste man sich dafür ja auch mehr Zeit nehmen;)). Vom WG-Leben stelle ich mir ein nettes Miteinander vor, du solltest also keine Zweck-WG bevorzugen, denn das soll diese nicht sein. Natürlich hat jeder seine Privatsphären und Zeiten, trotzdem würde es mich freuen, wenn wir auch zusammen etwas unternehmen, kochen, oder auf unserem Balkon entspannen :) 
 Längerfristig werde ich mich wahrscheinlich nach einer größeren WG umschauen, wodurch für dich auch nochmal die Möglichkeit bestünde, dir eine neue WG-Konstellation auszusuchen. 
 Unsere Wohnung ist somit vollständig ausgestattet und besteht abgesehen von unseren beiden Zimmern noch aus einer gemütlichen Küche, einem Badezimmer mit Wanne, einer separaten Toilette, Flur und Balkon. 
 Außerdem gibt es noch einen schönen Garten im Hinterhof, einen Fahrradkeller und direkt gegenüber der Wohnung einen Dachboden mit seeeehr viel Stauraum und der Möglichkeit, Wäsche aufzuhängen. Wir sind also auf der Etage allein und haben keine Nachbarn über uns :)"," Die Miete von insgesamt 344€ beinhaltet Miete, Nebenkosten, Internet, Strom und GEZ. 
 Für Besichtigungstermine bevorzuge ich gern das Wochenende, Samstag oder Sonntag. 
 Bei Interesse melde dich am besten erstmal über das Kontaktformular. Alles Weitere können wir gerne auch persönlich bei einem Kaffee oder einem Bier besprechen :)",1.0,0,"Studenten-WG, keine Zweck-WG, gemischte WG",https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Reudnitz-Thonberg.10168287.html,2er WG,Reudnitz-Thonberg,    17,344 ,https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Reudnitz-Thonberg.10168287.html

Probstheidaer Straße 30A,04277 Leipzig Connewitz,300,100,30.06.2023,1,"Spülmaschine,Balkon,Keller,Fahrradkeller",1,0,0," *03.07. - 31.07.2023* (Zeitraum auch flexibel möglich) 
 Ich vermiete mein möbliertes Zimmer im schönen Connewitz für einen Monat unter. 
 Das Zimmer ist 15qm groß, zwei große Fenster, einen riesigen Schreibtisch, (Schlaf)Sofa, Schrank und Doppelbett.  
 Die Wohnung: großer Südbalkon, großes Bad mit Fenster und Badewanne, einen Keller, 2 Abstellkammern, einen großen Flur und Küche mit Küchentisch und Geschirrspüler - yaaay."," Das Haus ist still gelegen aber nah am Stadtleben Connewitz, (Bornaische Straße) 
 2Min. zur S-Bahn/Tram Haltestelle Connewitz  
 10 Min bis in die Innenstadt, 
 5 Min. bis zum Auwald, 
 15 Min. (mit Fahrrad)zu den Seen (Markkleeberger/Cossi) 
 gegenüber ist ein Späti, Konsum und Rewe sind auch in der Nähe.","Du wirst den Monat mit meiner Mitbewohnerin Vio (24, Studentin, arbeitende - offenherzig, lustig, ruhig) zusammen leben. Wir treffen uns gerne mal zum kochen, in der Küche schnacken oder gehen zusammen schwimmen. Doch jede hat auch ihr eigenes Leben und dann ist jeder im Zimmer, was voll okey ist.
 Wir sind also keine Zweck - WG, Offenheit, Ehrlichkeit und Rücksicht mögen wir sehr."," Schreibe gerne etwas über dich, wieso du meinst das Zimmer und die WG könnte zu dir passen.",1.0,0,"Frauen-WG, keine Zweck-WG",https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Connewitz.10149683.html,2er WG,Connewitz,    15,400 ,https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Connewitz.10149683.html

Ostheimstr,04328 Leipzig Sellerhausen-Stünz,260,0,20.06.2023,1,"Waschmaschine,Gartenmitbenutzung,Keller,Fahrradkeller",0,1,0," Ich möchte wieder eine WG gründen und kann mich weitestgehend mit meinem Zimmer arrangieren.  
 Der Schnitt der Wohnung lässt es zu dir einen eigenen Bereich zu schaffen, inklusive einer tollen kleinen Küche die ebenfalls durch eine Tür von deinem teil der Wohnung verschlossen werden kann. Gerüche und so :) 
 Das Zimmer ist ca 13 qm groß und die Küche ca 8qm aber beides liegt sozusagen zusammen, eigentlich ganz niedlich.  
 ANSCHAUEN :)"," schöne, ruhige aber friedliche Atmosphäre in der Ostheimstr.  
 Einkaufsmöglichkeiten sind durch den Penny und Aldi in der nähe auch abgedeckt.  
 lediglich 1 minute zu fuß zur Haltestelle und dann ist man 24/7 flexibel unterwegs, das Haus ist nicht sehr Hellhörig, man kann ebenfalls sehr gut Musizieren. ;)","unkompliziert und WG erfahren, Ich denke am besten lernt man sich einfach kennen aber eine grundsätzliche Sauberkeit sollte irgendwie Selbstverständlich sein aber keiner strengen Hierarchie folgen :) 
 Ich habe bisher sehr gute Erfahrungen mit gemischten WGs gemacht und dies in den letzten 13 Jahren Köln auch fast immer so gehabt, sehr angenehmer Safe Space. 🌞 
 Ich bin ebenfalls viel unterwegs aber ernähre mich (Vegetarisch/Vegan) und mag auch die Friendzone Vibes einer dynamischen WG und ich bin an Dingen in Kunst, Grafik und vorwiegend Musik Interessiert. 🌞"," freue mich sehr über einen kleinen Eindruck von euch. 
 Alles weitere gerne persönlich :)  
 Es gibt selbstverständlich einen Mietvertrag für die Unterlagen / Bürokratische Erledigungen.  
 Ich bin ein angenehmer, lustiger und Respektvoller Mitbewohner. ✨",,0,"gemischte WG, Internationals welcome, funktionale WG, WG-Neugründung",https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Sellerhausen-Stuenz.10051146.html,2er WG,Sellerhausen-Stünz,    21,260 ,https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Sellerhausen-Stuenz.10051146.html
